micpoint,UD-node,longitude,latitude,orignode
92,48856229,-118.45937,34.02667,48856229
95,48856599,-118.45622,34.02266,48856599
97,48857035,-118.45472,34.03884,48857035
100,48857093,-118.45364,34.04748,48857093
101,48862867,-118.45325,34.07056,48862867
104,48857061,-118.45094,34.04111,48857061
105,48857077,-118.45031,34.04366,48857077
106,48857197,-118.45007,34.04838,48857197
108,48865283,-118.44974,34.10684,48865283
109,48857082,-118.44936,34.04419,48857082
111,48857435,-118.44635,34.05609,48857435
112,48857336,-118.44534,34.03787,48857336
113,48862967,-118.44529,34.06369,48862967
117,48857010,-118.4428,34.03503,48857010
119,48857455,-118.44211,34.0512,48857455
123,48862990,-118.44042,34.06166,48862990
131,48862987,-118.43902,34.058,48862987
132,48863028,-118.43902,34.06349,48863028
134,48857405,-118.43814,34.04659,48857405
138,48859895,-118.4365,34.04311,48859895
140,48859899,-118.43596,34.04562,48859899
143,298950661,-118.43548,34.05262,298950661
146,48859892,-118.43408,34.04027,48859892
147,48866228,-118.43364,34.07574,48866228
150,48866049,-118.43309,34.0652,48866049
151,48859976,-118.43236,34.04775,48859976
157,48866104,-118.43017,34.0629,48866104
158,48859984,-118.42939,34.04741,48859984
162,48866077,-118.42803,34.0573,48866077
166,48866439,-118.4278,34.07107,48866439
172,48859759,-118.42458,34.0306,48859759
173,48860125,-118.42442,34.04788,48860125
182,48860103,-118.42233,34.04545,48860103
183,48859796,-118.42158,34.02681,48859796
186,48860102,-118.42046,34.04325,48860102
193,48866994,-118.41787,34.08069,48866994
194,48860250,-118.41773,34.05496,48860250
195,48860406,-118.41708,34.03526,48860406
201,48867518,-118.41558,34.076,48867518
203,48867933,-118.41513,34.09068,48867933
204,48867414,-118.41466,34.06159,811289645
205,295019444,-118.41457,34.06496,838864247
208,48860785,-118.41364,34.03732,48860785
212,48860440,-118.41063,34.02712,48860440
213,48860838,-118.4104,34.04115,48860842
218,48867572,-118.40879,34.07258,48867572
221,48868086,-118.40745,34.08902,48868086
226,48868242,-118.40534,34.08377,48868242
232,48867701,-118.4041,34.07599,48867701
237,48867644,-118.40129,34.06223,48867644
239,48861258,-118.40114,34.04948,48861258
243,48870465,-118.39916,34.1115,48870465
247,49238397,-118.397,34.06222,49238397
248,49233231,-118.39672,34.02951,49233231
254,49233644,-118.39559,34.04009,49233644
256,49233284,-118.3946,34.03475,49233284
258,49233290,-118.39431,34.03545,49233290
260,49233650,-118.3937,34.03694,49233650
265,49238457,-118.39223,34.07081,49238457
266,49238468,-118.39223,34.07354,49238468
268,49238425,-118.39181,34.06221,49238425
269,49233731,-118.39151,34.03884,49233731
270,49233865,-118.39104,34.05243,49233865
271,49238511,-118.39068,34.07529,49238511
272,49238519,-118.38873,34.07528,49238519
273,49238435,-118.38868,34.06222,49238435
276,49233881,-118.38748,34.05245,49233881
278,49238525,-118.38679,34.05709,49238525
279,49238590,-118.3867,34.06926,49238590
280,49238540,-118.38665,34.06501,49238540
281,49238537,-118.38662,34.06222,49238537
282,49234018,-118.38644,34.05245,49234018
284,49233888,-118.38573,34.03782,49233888
287,49238633,-118.38486,34.07528,49238633
291,49238701,-118.3828,34.07529,811084598
292,49233921,-118.38273,34.04416,49233921
293,49234017,-118.38194,34.05181,49234017
294,49234034,-118.38145,34.0481,49234034
298,49241157,-118.38044,34.09927,49241157
300,49238653,-118.37953,34.0693,49238653
301,49238581,-118.3794,34.06505,49238581
302,49238561,-118.37939,34.05713,49238561
303,49238566,-118.37931,34.06096,49238566
