LA	subnetwork	OD	with	preload									
187	1	8	3.7	0.05	0	3600	1	0	0	0	0	1	1
188	1	9	1.6	0.05	0	3600	1	0	0	0	0	1	1
189	1	10	1.6	0.05	0	3600	1	0	0	0	0	1	1
190	1	11	1.6	0.05	0	3600	1	0	0	0	0	1	1
191	1	12	0.9	0.05	0	3600	1	0	0	0	0	1	1
192	1	13	3	0.05	0	3600	1	0	0	0	0	1	1
193	1	14	4.3	0.05	0	3600	1	0	0	0	0	1	1
194	1	15	1.7	0.05	0	3600	1	0	0	0	0	1	1
195	1	16	1.7	0.05	0	3600	1	0	0	0	0	1	1
196	1	17	2.2	0.05	0	3600	1	0	0	0	0	1	1
197	1	18	0.9	0.05	0	3600	1	0	0	0	0	1	1
198	1	19	0.9	0.05	0	3600	1	0	0	0	0	1	1
199	1	20	0.7	0.05	0	3600	1	0	0	0	0	1	1
200	1	21	0.9	0.05	0	3600	1	0	0	0	0	1	1
201	1	22	0.7	0.05	0	3600	1	0	0	0	0	1	1
202	1	23	0.3	0.05	0	3600	1	0	0	0	0	1	1
203	1	24	0.3	0.05	0	3600	1	0	0	0	0	1	1
204	1	161	12.7245021645	0.05	0	339.5024767296	1	0	0	0	0	1	1
205	167	25	4.3820398927	0.05	2614.1577653744	3600	1	0	0	0	0	1	1
206	1	161	5.2853923854	0.05	0	340.5612807433	1	0	0	0	0	1	1
207	167	26	1.8410753503	0.05	2622.3105210213	3600	1	0	0	0	0	1	1
208	1	27	0.2	0.05	0	3600	1	0	0	0	0	1	1
209	1	28	1	0.05	0	3600	1	0	0	0	0	1	1
210	1	29	2.2	0.05	0	3600	1	0	0	0	0	1	1
211	1	30	0.21	0.05	0	3600	1	0	0	0	0	1	1
212	1	31	1.8	0.05	0	3600	1	0	0	0	0	1	1
213	1	32	0.14	0.05	0	3600	1	0	0	0	0	1	1
214	1	33	0.8	0.05	0	3600	1	0	0	0	0	1	1
215	1	34	0.14	0.05	0	3600	1	0	0	0	0	1	1
216	1	161	12.1726682207	0.05	0	289.8296360374	1	0	0	0	0	1	1
217	168	35	3.6403327513	0.05	2630.8578250892	3600	1	0	0	0	0	1	1
218	1	161	6.5520590521	0.05	0	274.7227986955	1	0	0	0	0	1	1
219	167	36	1.2124121924	0.05	2115.3564016772	3600	1	0	0	0	0	1	1
220	1	161	10.5606571207	0.05	0	272.7103026919	1	0	0	0	0	1	1
221	167	37	1.919821136	0.05	2099.8602494656	3600	1	0	0	0	0	1	1
222	1	161	9.4796239316	0.05	0	292.4166633607	1	0	0	0	0	1	1
223	168	38	2.9312889829	0.05	2654.3409345821	3600	1	0	0	0	0	1	1
224	1	161	2.6807192807	0.05	0	268.5846314377	1	0	0	0	0	1	1
225	172	39	0.5657150085	0.05	2327.2743534322	3600	1	0	0	0	0	1	1
226	1	161	3.9406393606	0.05	0	274.0672010708	1	0	0	0	0	1	1
227	172	41	0.8814747683	0.05	2374.7805850053	3600	1	0	0	0	0	1	1
228	1	161	10.8109246309	0.05	0	233.097545865	1	0	0	0	0	1	1
229	172	43	1.594714936	0.05	2019.7802734866	3600	1	0	0	0	0	1	1
230	1	44	0.63	0.05	0	3600	1	0	0	0	0	1	1
231	1	45	0.1	0.05	0	3600	1	0	0	0	0	1	1
232	1	46	1.5	0.05	0	3600	1	0	0	0	0	1	1
233	1	47	0.14	0.05	0	3600	1	0	0	0	0	1	1
234	1	161	9.8796425796	0.05	0	255.0699561938	1	0	0	0	0	1	1
235	172	48	1.8131717473	0.05	2210.1702699939	3600	1	0	0	0	0	1	1
236	1	161	19.7745743146	0.05	0	236.6675472023	1	0	0	0	0	1	1
237	172	49	3.0207466867	0.05	2050.7141825102	3600	1	0	0	0	0	1	1
238	1	161	11.7706480186	0.05	0	256.9102393691	1	0	0	0	0	1	1
239	172	50	2.2010595796	0.05	2226.116245063	3600	1	0	0	0	0	1	1
240	1	51	0.3	0.05	0	3600	1	0	0	0	0	1	1
241	1	161	13.0924852925	0.05	0	274.9668928073	1	0	0	0	0	1	1
242	173	52	5.0266010944	0.05	2883.810286036	3600	1	0	0	0	0	1	1
243	1	53	0.3	0.05	0	3600	1	0	0	0	0	1	1
244	1	54	0.3	0.05	0	3600	1	0	0	0	0	1	1
245	1	161	12.9876723277	0.05	0	249.4673347353	1	0	0	0	0	1	1
246	172	55	2.2525400431	0.05	2161.6237944843	3600	1	0	0	0	0	1	1
247	1	56	0.07	0.05	0	3600	1	0	0	0	0	1	1
248	1	161	2.9339460539	0.05	0	245.4032851189	1	0	0	0	0	1	1
249	172	57	0.4886023255	0.05	2126.4089782354	3600	1	0	0	0	0	1	1
250	1	161	9.1893550894	0.05	0	274.2303432065	1	0	0	0	0	1	1
251	173	58	3.4810739215	0.05	2876.0854676283	3600	1	0	0	0	0	1	1
252	1	161	1.9413923854	0.05	0	259.607487797	1	0	0	0	0	1	1
253	172	59	0.3731917381	0.05	2249.4877874242	3600	1	0	0	0	0	1	1
254	1	161	12.9753646354	0.05	0	249.7039652488	1	0	0	0	0	1	1
255	172	60	2.2557556039	0.05	2163.6741877715	3600	1	0	0	0	0	1	1
256	1	61	0.2	0.05	0	3600	1	0	0	0	0	1	1
257	1	161	8.9181041181	0.05	0	282.5712692549	1	0	0	0	0	1	1
258	172	62	2.1883889806	0.05	2448.4679723984	3600	1	0	0	0	0	1	1
259	1	161	2.8003962704	0.05	0	269.961793619	1	0	0	0	0	1	1
260	172	63	0.599622811	0.05	2339.2074048794	3600	1	0	0	0	0	1	1
261	1	161	7.6927627928	0.05	0	233.9861566632	1	0	0	0	0	1	1
262	172	64	1.1446595624	0.05	2027.480048078	3600	1	0	0	0	0	1	1
263	1	161	14.0083139083	0.05	0	179.893170334	1	0	0	0	0	1	1
264	172	65	1.2345477205	0.05	1558.7666332015	3600	1	0	0	0	0	1	1
265	1	161	9.4876767677	0.05	0	265.6076995145	1	0	0	0	0	1	1
266	172	66	1.9406699694	0.05	2301.4793655369	3600	1	0	0	0	0	1	1
267	1	161	8.130975691	0.05	0	265.6507757608	1	0	0	0	0	1	1
268	172	67	1.6639096856	0.05	2301.8526193702	3600	1	0	0	0	0	1	1
269	1	161	13.996006216	0.05	0	180.0513633038	1	0	0	0	0	1	1
270	172	68	1.2353773049	0.05	1560.1373685245	3600	1	0	0	0	0	1	1
271	1	69	0.35	0.05	0	3600	1	0	0	0	0	1	1
272	1	70	0.21	0.05	0	3600	1	0	0	0	0	1	1
273	1	161	9.7692152292	0.05	0	257.9531662343	1	0	0	0	0	1	1
274	172	71	1.8463610197	0.05	2235.1531617803	3600	1	0	0	0	0	1	1
275	1	161	12.0592807193	0.05	0	268.6727405574	1	0	0	0	0	1	1
276	172	72	2.5472455382	0.05	2328.0378151887	3600	1	0	0	0	0	1	1
277	1	161	6.0904251304	0.05	0	236.436696809	1	0	0	0	0	1	1
278	173	73	1.285383235	0.05	2479.711543789	3600	1	0	0	0	0	1	1
279	1	161	9.9076767677	0.05	0	254.348225027	1	0	0	0	0	1	1
280	172	74	1.8050496267	0.05	2203.9165002768	3600	1	0	0	0	0	1	1
281	1	161	16.6882295482	0.05	0	237.2929967529	1	0	0	0	0	1	1
282	173	75	3.5633694859	0.05	2488.6922852924	3600	1	0	0	0	0	1	1
283	1	161	8.1195204795	0.05	0	266.0255621558	1	0	0	0	0	1	1
284	172	76	1.6680826416	0.05	2305.1001274663	3600	1	0	0	0	0	1	1
285	1	161	13.0283716284	0.05	0	165.7920161946	1	0	0	0	0	1	1
286	172	77	0.9984195089	0.05	1436.5807351971	3600	1	0	0	0	0	1	1
287	1	161	12.912034632	0.05	0	167.2857966661	1	0	0	0	0	1	1
288	172	78	1.0044289173	0.05	1449.524279146	3600	1	0	0	0	0	1	1
289	1	161	6.5815606616	0.05	0	218.7930908865	1	0	0	0	0	1	1
290	173	81	1.103167734	0.05	2294.668131026	3600	1	0	0	0	0	1	1
291	1	161	12.8494105894	0.05	0	252.1516436458	1	0	0	0	0	1	1
292	176	82	5.1556277056	0.05	2971.5605189135	3600	1	0	0	0	0	1	1
293	1	161	4.9308957709	0.05	0	219.0271403372	1	0	0	0	0	1	1
294	173	83	0.8289346107	0.05	2297.122805501	3600	1	0	0	0	0	1	1
295	1	161	11.2691042291	0.05	0	255.5660096356	1	0	0	0	0	1	1
296	172	84	2.0786247789	0.05	2214.4685518683	3600	1	0	0	0	0	1	1
297	1	161	13.9703318903	0.05	0	206.1511510684	1	0	0	0	0	1	1
298	172	85	1.5879062538	0.05	1786.2909141298	3600	1	0	0	0	0	1	1
299	1	161	12.8949050949	0.05	0	251.2620276112	1	0	0	0	0	1	1
300	176	86	5.0710300935	0.05	2961.0765583601	3600	1	0	0	0	0	1	1
301	1	161	8.2245703186	0.05	0	214.4792896982	1	0	0	0	0	1	1
302	172	87	1.012893072	0.05	1858.4538794534	3600	1	0	0	0	0	1	1
303	1	161	15.4500854701	0.05	0	163.1058938075	1	0	0	0	0	1	1
304	172	88	1.152424408	0.05	1413.3055995043	3600	1	0	0	0	0	1	1
305	1	161	4.6583749584	0.05	0	231.8405043927	1	0	0	0	0	1	1
306	176	90	1.2445227984	0.05	2732.1974966224	3600	1	0	0	0	0	1	1
307	1	161	13.8895238095	0.05	0	207.350521119	1	0	0	0	0	1	1
308	172	91	1.597057337	0.05	1796.6834043631	3600	1	0	0	0	0	1	1
309	1	161	7.7982350982	0.05	0	230.8214586153	1	0	0	0	0	1	1
310	172	92	1.1250408353	0.05	2000.0580747371	3600	1	0	0	0	0	1	1
311	1	161	7.7323010323	0.05	0	232.7896951348	1	0	0	0	0	1	1
312	172	93	1.1371624931	0.05	2017.1127600656	3600	1	0	0	0	0	1	1
313	1	161	10.4253333333	0.05	0	169.2032229185	1	0	0	0	0	1	1
314	172	94	0.8266704103	0.05	1466.1386956821	3600	1	0	0	0	0	1	1
315	1	161	9.0187875616	0.05	0	199.5833683515	1	0	0	0	0	1	1
316	172	95	0.9622485092	0.05	1729.3813575623	3600	1	0	0	0	0	1	1
317	1	161	7.3772766916	0.05	0	195.1939801373	1	0	0	0	0	1	1
318	172	96	0.7544589689	0.05	1691.3474962664	3600	1	0	0	0	0	1	1
319	1	161	8.7501420801	0.05	0	143.9976618048	1	0	0	0	0	1	1
320	172	97	0.5356536115	0.05	1247.7335857921	3600	1	0	0	0	0	1	1
321	1	161	154.154017094	0.05	0	179.8201598801	1	0	0	0	0	1	1
322	172	98	13.575817419	0.05	1558.1340007385	3600	1	0	0	0	0	1	1
323	1	161	12.7005350205	0.05	0	158.73347042	1	0	0	0	0	1	1
324	172	100	0.9062379667	0.05	1375.4187377075	3600	1	0	0	0	0	1	1
325	1	161	4.3547159507	0.05	0	173.6048937648	1	0	0	0	0	1	1
326	178	101	0.7382817069	0.05	2576.0006337742	3600	1	0	0	0	0	1	1
327	1	161	8.7426620998	0.05	0	205.8869460413	1	0	0	0	0	1	1
328	172	102	0.9911902945	0.05	1784.0015888606	3600	1	0	0	0	0	1	1
329	1	161	8.7536511108	0.05	0	205.6284831572	1	0	0	0	0	1	1
330	172	103	0.9899694203	0.05	1781.7620190152	3600	1	0	0	0	0	1	1
331	1	161	7.6771672772	0.05	0	187.5691837903	1	0	0	0	0	1	1
332	172	104	0.7292169234	0.05	1625.278961766	3600	1	0	0	0	0	1	1
333	1	161	14.1118170718	0.05	0	142.8589946809	1	0	0	0	0	1	1
334	172	105	0.8534659444	0.05	1237.8670838244	3600	1	0	0	0	0	1	1
335	1	161	23.0578754579	0.05	0	187.3546419267	1	0	0	0	0	1	1
336	172	106	2.1855932596	0.05	1623.419965686	3600	1	0	0	0	0	1	1
337	1	161	8.1434259074	0.05	0	185.6712417094	1	0	0	0	0	1	1
338	172	107	0.7593538285	0.05	1608.8333747432	3600	1	0	0	0	0	1	1
339	1	161	8.0952207792	0.05	0	186.776870111	1	0	0	0	0	1	1
340	172	108	0.7630250178	0.05	1618.4135975939	3600	1	0	0	0	0	1	1
341	1	161	17.0955977356	0.05	0	168.4644225105	1	0	0	0	0	1	1
342	172	109	0.5046108871	0.05	1459.7370217196	3600	1	0	0	0	0	1	1
343	172	110	0.8410181451	0.05	1459.7370217196	3600	1	0	0	0	0	1	1
344	1	161	9.1602984317	0.05	0	196.5001482665	1	0	0	0	0	1	1
