Mic_Zone_ID,TAZ_ID,attr,,,,,,,,
387,20922000,0,,,,,,,,
388,20930000,0,,,,,,,,
389,20927000,0,,,,,,,,
390,20917000,0,,,,,,,,
391,20937000,0,,,,,,,,
392,21172000,0,,,,,,,,
393,20933000,0,,,,,,,,
394,20934000,0,,,,,,,,
395,20930000,0,,,,,,,,
396,20925000,0,,,,,,,,
397,20928000,0,,,,,,,,
398,20625000,0,,,,,,,,
399,20626000,0,,,,,,,,
400,20625000,0,,,,,,,,
401,20919000,0,,,,,,,,
402,20936000,0,,,,,,,,
403,20936000,0,,,,,,,,
404,20926000,0,,,,,,,,
405,20938000,0,,,,,,,,
406,20933000,0,,,,,,,,
407,20931000,0,,,,,,,,
408,20929000,0,,,,,,,,
409,20929000,0,,,,,,,,
410,20936000,0,,,,,,,,
411,20936000,0,,,,,,,,
412,21183000,0,,,,,,,,
413,20938000,0,,,,,,,,
414,20938000,0,,,,,,,,
415,20931000,0,,,,,,,,
416,20930000,0,,,,,,,,
417,20719000,0,,,,,,,,
418,20937000,0,,,,,,,,
419,20938000,0,,,,,,,,
420,20938000,0,,,,,,,,
421,20945000,0,,,,,,,,
422,20632000,0,,,,,,,,
423,20947000,0,,,,,,,,
424,20939000,0,,,,,,,,
425,20929000,0,,,,,,,,
426,20936000,0,,,,,,,,
427,20928000,0,,,,,,,,
428,20936000,0,,,,,,,,
429,20630000,0,,,,,,,,
430,20630000,0,,,,,,,,
431,21195000,0,,,,,,,,
432,20938000,0,,,,,,,,
433,20622000,0,,,,,,,,
434,21189000,0,,,,,,,,
435,20945000,0,,,,,,,,
436,20622000,0,,,,,,,,
437,20945000,0,,,,,,,,
438,20949000,0,,,,,,,,
439,20956000,0,,,,,,,,
440,20949000,0,,,,,,,,
441,20945000,0,,,,,,,,
442,20950000,0,,,,,,,,
443,20949000,0,,,,,,,,
444,20631000,0,,,,,,,,
445,21213000,0,,,,,,,,
446,21195000,0,,,,,,,,
447,20950000,0,,,,,,,,
448,20950000,0,,,,,,,,
449,20950000,0,,,,,,,,
450,20938000,0,,,,,,,,
451,20940000,0,,,,,,,,
452,20956000,0,,,,,,,,
453,20951000,0,,,,,,,,
454,20948000,0,,,,,,,,
455,20948000,0,,,,,,,,
456,20940000,0,,,,,,,,
457,20947000,0,,,,,,,,
458,20945000,0,,,,,,,,
459,20971000,0,,,,,,,,
460,20946000,0,,,,,,,,
461,20934000,0,,,,,,,,
462,21201000,0,,,,,,,,
463,20943000,0,,,,,,,,
